Month,Genre,MovieTitle,Director,Actor,ProductionStudio,ProductionStates,ProductionCity,Language,Budget,Collection
July,Action,Thunderous Tales,Diya Singhania,Karan Singhania,Dharma Productions,Maharashtra,Mumbai,Hindi,47,87
August,Romance,Love in Monsoon,Natasha Reddy,Akshay Kumar,Yash Raj Films,Delhi,New Delhi,Hindi,50,130
September,Drama,Echoes of Emotions,Kabir Mehta,Karan Singhania,T-Series,Karnataka,Bengaluru,Kannada,47,100
October,Thriller,Enigmatic Echoes,Diya Singhania,Meera Joshi,Eros International,West Bengal,Kolkata,Bengali,23,10
November,Comedy,Laughter Chronicles,Kabir Mehta,Anjali Mehra,Rajshri Productions,Maharashtra,Pune,Marathi,40,100
December,Fantasy,Fantastical Journeys,Natasha Reddy,Pooja Chatterjee,Excel Entertainment,Rajasthan,Jaipur,Rajasthani,100,10
January,Historical,Legends Retold,Aarav Malhotra,Natasha Kapoor,Viacom18 Motion Pictures,Telangana,Hyderabad,Telugu,80,10
February,Mystery,Veiled Secrets,Aarav Malhotra,Vikram Malhotra,Fox Star Studios,Gujarat,Ahmedabad,Gujarati,75,87
March,Sci-Fi,Cosmic Adventures,Aarav Malhotra,Pooja Chatterjee,UTV Motion Pictures,Punjab,Chandigarh,Punjabi,39,10
April,Action,Thrilling Heights,Aarav Malhotra,Karan Singhania,Red Chillies Entertainment,Maharashtra,Mumbai,Hindi,67,87
May,Romance,Romance in Bloom,Natasha Reddy,Rahul Verma,Yash Raj Films,Delhi,New Delhi,Hindi,43,100
June,Drama,Theatrical Symphony,Aarav Malhotra,Rishi Shah,T-Series,Karnataka,Bengaluru,Kannada,59,87
July,Thriller,Whispering Shadows,Natasha Reddy,Priya Sharma,Eros International,West Bengal,Kolkata,Bengali,61,10
August,Comedy,Comic Relief,Natasha Reddy,Arjun Khanna,Rajshri Productions,Maharashtra,Pune,Marathi,100,101
September,Fantasy,Enchanted Dreamscape,Diya Singhania,Neha Desai,Excel Entertainment,Rajasthan,Jaipur,Rajasthani,48,87
October,Historical,Historical Legends,Diya Singhania,Pooja Chatterjee,Viacom18 Motion Pictures,Telangana,Hyderabad,Telugu,69,87
November,Mystery,Mysterious Enigmas,Diya Singhania,Arjun Khanna,Fox Star Studios,Gujarat,Ahmedabad,Gujarati,81,10
December,Sci-Fi,Sci-Fi Wonders,Diya Singhania,Arjun Khanna,UTV Motion Pictures,Punjab,Chandigarh,Punjabi,23,50
January,Action,Thundering Storm,Natasha Reddy,Aishwarya Patel,Dharma Productions,Maharashtra,Mumbai,Hindi,77,87
February,Romance,Love Diaries,Diya Singhania,Kriti Banerjee,Yash Raj Films,Delhi,New Delhi,Hindi,29,30
March,Drama,Echoes of Eternity,Kabir Mehta,Meera Joshi,T-Series,Karnataka,Bengaluru,Kannada,81,50
April,Thriller,Veiled Truths,Natasha Reddy,Siddharth Rao,Eros International,West Bengal,Kolkata,Bengali,71,130
May,Comedy,Laughter Unlimited,Natasha Reddy,Priya Sharma,Rajshri Productions,Maharashtra,Pune,Marathi,78,87
June,Fantasy,Enchanted Escapades,Diya Singhania,Tanvi Gupta,Excel Entertainment,Rajasthan,Jaipur,Rajasthani,66,10
July,Historical,Chronicles of History,Aarav Malhotra,Aishwarya Patel,Viacom18 Motion Pictures,Telangana,Hyderabad,Telugu,91,100
August,Mystery,Cryptic Whispers,Natasha Reddy,Rahul Verma,Fox Star Studios,Gujarat,Ahmedabad,Gujarati,62,50
September,Sci-Fi,Futuristic Odyssey,Natasha Reddy,Vikram Malhotra,UTV Motion Pictures,Punjab,Chandigarh,Punjabi,40,133
October,Action,Thunder Reigns,Diya Singhania,Meera Joshi,Red Chillies Entertainment,Maharashtra,Mumbai,Hindi,21,10
November,Romance,Melodies in Moonlight,Aarav Malhotra,Vikram Malhotra,Yash Raj Films,Delhi,New Delhi,Hindi,35,30
December,Drama,Theatrical Emotions,Diya Singhania,Anjali Mehra,T-Series,Karnataka,Bengaluru,Kannada,74,130
January,Thriller,Midnight Secrets,Natasha Reddy,Rishi Shah,Eros International,West Bengal,Kolkata,Bengali,69,100
February,Comedy,Comedy Carnival,Natasha Reddy,Deepika Reddy,Rajshri Productions,Maharashtra,Pune,Marathi,100,139
March,Fantasy,Whimsical Adventures,Aarav Malhotra,Siddharth Rao,Excel Entertainment,Rajasthan,Jaipur,Rajasthani,54,30
